Chip Number,Status,,Last Update,,Total,214,
448,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
449,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
450,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
451,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
452,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
453,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.09 failed",,,,,
454,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
455,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed",,,,,
456,QC and Bist Coverage,"test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37]        , AssertionError: 1.527067267313125e-05
assert 1 == 0",,,,,
457,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
458,NO TEST,Current Reading 0.6 A before starting the tests,,,,,
459,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
460,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
461,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
462,QC and Bist Coverage,ALL PASS,,,,,
463,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.08 failed",,,,,
464,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.05 failed",,,,,
465,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37]        , AssertionError: 1.5252505223983039e-05
test_packets.py::test_fill_buffer, AssertionError: 1.529683508482095e-05",,,,,
466,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
467,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
468,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
469,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
470,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.06 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
471,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
472,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
473,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
474,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
475,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.13 failed",,,,,
476,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
477,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
478,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14","Shipped to Minnesota, Aug 8",,,,
479,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
480,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14","Shipped to Minnesota, Aug 8",,,,
481,QC and Bist Coverage,ALL PASS,"Shipped to Minnesota, Aug 8",,,,
482,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
483,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
484,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
485,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
486,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
487,QC and Bist Coverage,"test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed",,,,,
488,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
489,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
490,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.03 failed",,,,,
501,QC and Bist Coverage,"test_power.py::test_currentdraw_1p2V, assert 0.2395239 > 0.24",,,,,
502,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14",,,,,
503,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
504,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_power.py::test_currentdraw_1p2V, assert 0.2396876 > 0.24",,,,,
505,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
506,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_power.py::test_currentdraw_1p2V, assert 0.2393398 > 0.24
test_bist_threshold.py::test_bist, AssertionError: voltage 1.06 failed",,,,,
507,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
508,QC and Bist Coverage,ALL PASS,,,,,
509,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.06 failed",,,,,
510,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.1 failed",,,,,
511,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
512,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_power.py::test_currentdraw_1p2V, assert 0.2391489 > 0.24",,,,,
513,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
514,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
515,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.14 failed",,,,,
516,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.12 failed
test_packets.py::test_fill_buffer, AssertionError",,,,,
517,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.09 failed",,,,,
518,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_power.py::test_currentdraw_1p2V, assert 0.2387533 > 0.24",,,,,
519,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.09 failed",,,,,
520,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
521,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
522,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14",,,,,
523,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
524,QC and Bist Coverage,ALL PASS,,,,,
525,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.02 failed",,,,,
526,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_packets.py::test_fill_buffer, AssertionError",,,,,
527,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
528,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.02 failed",,,,,
529,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
530,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.05 failed",,,,,
531,QC and Bist Coverage,ALL PASS,,,,,
532,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
533,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
534,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
535,QC and Bist Coverage,FAILED 17 Tests,,,,,
536,QC and Bist Coverage,FaileD 30 Tests,,,,,
537,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_power.py::test_currentdraw_1p2V, assert 0.2392853 > 0.24
test_bist_threshold.py::test_bist, AssertionError: voltage 1.01 failed",,,,,
538,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.07 failed",,,,,
539,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 13 >= 14",,,,,
540,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2], assert 12 >= 14
test_bist_threshold.py::test_bist, AssertionError: voltage 1.12 failed
test_zs.py::test_zs_zsm1_sampling, AssertionError: Non-zero error counts observed
test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37]        
test_packets.py::test_fill_buffer",,,,,
541,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 13 >= 14",,,,,
542,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08], assert 12 >= 14",,,,,
543,QC and Bist Coverage,test_currentdraw_1p2V - assert 0.2387056 > 0.24,,,,,
544,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.08 failed",,,,,
545,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
546,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.06 failed",,,,,
547,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
548,QC and Bist Coverage,ALL PASS,,,,,
549,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
550,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.11 failed ",,,,,
551,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.05 failed",,,,,
552,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.01 failed",,,,,
553,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
554,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_power.py::test_currentdraw_1p2V - assert 0.2398649 > 0.24",,,,,
555,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.07 failed",,,,,
556,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.04 failed",,,,,
557,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.03 failed",,,,,
558,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.06 failed",,,,,
559,QC and Bist Coverage,test_bist_threshold.py::test_bist - AssertionError: voltage 1.04 failed,,,,,
560,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
561,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
562,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
563,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
564,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
565,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
566,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.02 failed",,,,,
567,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14,,,,,
568,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
569,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
570,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.01 failed
test_packets.py::test_single_fcsequence[None-../econd_testvectors/exampleData/testVectorInputs_Random.csv-fc_sequence9-ZS_37] - AssertionError: 1.5310418739952537e-05",,,,,
571,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
572,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
573,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14,,,,,
574,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.03 failed",,,,,
575,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.01 failed",,,,,
576,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.04 failed",,,,,
577,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.09 failed",,,,,
578,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.03 failed",,,,,
579,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.06 failed",,,,,
580,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14",,,,,
581,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.09 failed",,,,,
582,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 12 >= 14",,,,,
583,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14,,,,,
584,QC and Bist Coverage,test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14,,,,,
585,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.01 failed",,,,,
586,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
587,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,
588,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14
test_bist_threshold.py::test_bist - AssertionError: voltage 1.01 failed",,,,,
589,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 13 >= 14
test_pll.py::test_pll_capbank_width[1.32] - assert 13 >= 14",,,,,
590,QC and Bist Coverage,"test_pll.py::test_pll_capbank_width[1.08] - assert 12 >= 14
test_pll.py::test_pll_capbank_width[1.2] - assert 13 >= 14",,,,,